ground_spares,probability_failures_not_exceed_spares,shortage_probability,expected_used_spares
0,0.9315376434011341,0.0684623565988659,0
1,0.9976010617289144,0.0023989382710856155,0.0684623565988659
2,0.999943626880236,5.637311976403048e-05,0.07086129486995152
3,0.9999990040882489,9.959117510671689e-07,0.07091766798971555
4,0.9999999859078471,1.4092152889055853e-08,0.07091866390146662
5,0.9999999998337168,1.6628320942402297e-10,0.0709186779936195
