duration_h,single_event_loss_gbps_h,annual_loss_gbps_h,capacity_loss_fraction,capacity_loss_percent,average_capacity_loss_gbps,average_available_capacity_gbps,average_degraded_satellites,equivalent_full_satellite_loss
1.0,10.0,2678.8284144,7.769368150684932e-06,0.0007769368150684932,0.3058023304109589,39359.69419766959,0.03058023304109589,0.015290116520547944
3.0,30.0,8036.4852432,2.3308104452054795e-05,0.0023308104452054793,0.9174069912328767,39359.08259300877,0.09174069912328767,0.04587034956164383
6.0,60.0,16072.9704864,4.661620890410959e-05,0.0046616208904109585,1.8348139824657534,39358.16518601753,0.18348139824657533,0.09174069912328767
12.0,120.0,32145.9409728,9.323241780821918e-05,0.009323241780821917,3.669627964931507,39356.33037203507,0.36696279649315067,0.18348139824657533
24.0,240.0,64291.8819456,0.00018646483561643836,0.018646483561643834,7.339255929863014,39352.660744070134,0.7339255929863013,0.36696279649315067
