case_name,M,N,inclination_degree,phase_factor,total_satellites,grid_step_degree,time_step_second,ground_point_number,time_sample_number,minimum_coverage_count,space_time_single_coverage_ratio,full_region_single_coverage_ratio,worst_single_instantaneous_ratio,worst_single_time_minutes,minimum_point_single_coverage_ratio,worst_single_point_latitude,worst_single_point_longitude,space_time_double_coverage_ratio,full_region_double_coverage_ratio,worst_double_instantaneous_ratio,worst_double_time_minutes,minimum_point_double_coverage_ratio,worst_double_point_latitude,worst_double_point_longitude,average_multiplicity,maximum_single_gap_minutes,maximum_single_gap_latitude,maximum_single_gap_longitude,maximum_double_gap_minutes,maximum_double_gap_latitude,maximum_double_gap_longitude,total_uncovered_cells,total_non_double_cells,maximum_uncovered_points,maximum_non_double_points,single_feasible,double_95_feasible,elapsed_time_second
main_resolution,36,44,53.0,1,1584,1.0,60.0,3150,1440,1,0.9999999999999861,1.0,1.0,0.0,1.0,4.0,73.0,0.9568959503152544,0.0,0.9438015430051799,1206.0,0.8444444444444444,5.0,112.0,3.0180184823915535,0.0,4.0,73.0,4.0,5.0,73.0,0,171426,0,155,True,False,4.763810157775879
sensitivity_resolution,36,44,53.0,1,1584,0.5,30.0,12375,2880,1,0.999999999999936,1.0,1.0,0.0,1.0,4.0,73.0,0.9568284905213192,0.0,0.9456847327536013,1264.5,0.8444444444444444,5.0,77.5,3.013186165769719,0.0,4.0,73.0,2.0,5.5,73.0,0,1350522,0,589,True,False,33.733094692230225
