threshold,trigger_probability,expected_avoidance_number,residual_collision_rate,annual_residual_collision_probability
1e-07,0.06111547209587234,0.6058107926442088,6.36136504706906e-07,6.361363023721227e-07
1.2589254117941662e-07,0.059554364199124056,0.5903362167324229,6.378567813509038e-07,6.378565779203103e-07
1.584893192461114e-07,0.05791850500030998,0.5741206640433549,6.401298853333334e-07,6.401296804502421e-07
1.9952623149688787e-07,0.05629769514512622,0.5580542888780924,6.429674634978805e-07,6.429672567943453e-07
2.5118864315095823e-07,0.05467332461125233,0.5419526182711741,6.465400771721122e-07,6.465398681651215e-07
3.162277660168379e-07,0.05317078584551539,0.5270586123928948,6.506954220709101e-07,6.506952103686898e-07
3.981071705534969e-07,0.05153268493157696,0.5108208385678396,6.563909773866368e-07,6.563907619621263e-07
5.011872336272725e-07,0.049896919954351866,0.494606219855939,6.635639850895611e-07,6.635637649310287e-07
6.30957344480193e-07,0.04834639207774236,0.47923651903006276,6.72147462703118e-07,6.721472368120629e-07
7.943282347242822e-07,0.04669816252049811,0.46289834441910055,6.835921580538564e-07,6.835919244047903e-07
1e-06,0.0451040280312946,0.44709639042337784,6.975752738461456e-07,6.975750305405708e-07
1.2589254117941661e-06,0.04342409770072982,0.43044397999038647,7.161054002291298e-07,7.161051438257189e-07
1.584893192461114e-06,0.04181802929504979,0.41452373032988266,7.384131197455192e-07,7.384128471186186e-07
1.9952623149688787e-06,0.04024421670015593,0.39892321833366623,7.658930495065739e-07,7.658927562105671e-07
2.5118864315095823e-06,0.0386874360447151,0.38349153646158135,8.001134539026506e-07,8.001131338119663e-07
3.162277660168379e-06,0.03707965104541183,0.36755427096355103,8.444803675281741e-07,8.44480010954729e-07
3.981071705534969e-06,0.035542190143498444,0.3523140973101999,8.981372747376378e-07,8.981368714124764e-07
5.011872336272725e-06,0.033996750166796104,0.3369948305981405,9.660234967810074e-07,9.660230301804594e-07
6.30957344480193e-06,0.03248162396045625,0.32197605095787407,1.0500886663181698e-06,1.0500881149752593e-06
7.943282347242822e-06,0.030898377716157655,0.3062820273445921,1.1599636860979849e-06,1.1599630133403686e-06
1e-05,0.029228904207161795,0.28973327078427746,1.3058138646590547e-06,1.305813012084501e-06
1.2589254117941661e-05,0.027711829929797722,0.2746951807728262,1.4732684679637302e-06,1.473267382704274e-06
1.584893192461114e-05,0.026204577828869008,0.25975445367599753,1.6815545427967812e-06,1.6815531289847335e-06
1.995262314968883e-05,0.02452966856101396,0.24315181482908388,1.9748322351657837e-06,1.9748302851858888e-06
2.5118864315095822e-05,0.02300220057360029,0.22801069654168662,2.3104494708424814e-06,2.3104468017561584e-06
3.1622776601683795e-05,0.02142584340228828,0.21238496127869402,2.748090956732036e-06,2.7480871807335416e-06
3.9810717055349695e-05,0.019790470747284718,0.1961742314844087,3.317203032528205e-06,3.317197530616309e-06
5.011872336272725e-05,0.01828871825387856,0.18128801957789467,3.97695812294534e-06,3.976950214857868e-06
6.309573444801943e-05,0.016789463797347123,0.16642656961213362,4.808714202521546e-06,4.808702640673937e-06
7.943282347242822e-05,0.015231476326915436,0.15098292511387387,5.893137817540307e-06,5.89312045303775e-06
0.0001,0.013732005757213154,0.13611933291330974,7.2071827362852725e-06,7.2071567646061695e-06
0.00012589254117941674,0.012102760757433636,0.11996934386995085,9.013633092001571e-06,9.013592469332866e-06
0.00015848931924611142,0.010468659185021907,0.10377121375830017,1.1284095713478918e-05,1.1284032048310353e-05
0.0001995262314968881,0.008962342783634412,0.088839761839447,1.3919577950124951e-05,1.391948107324929e-05
0.0002511886431509582,0.0074383249629796705,0.07373284353754117,1.727976387045131e-05,1.7279614576191524e-05
0.00031622776601683794,0.00594567910330845,0.05893690168559906,2.1407019628056887e-05,2.1406790499447196e-05
0.00039810717055349735,0.004473166560289307,0.0443405325457914,2.6537920797604326e-05,2.6537568670099112e-05
0.0005011872336272725,0.003355816012509021,0.03326472804328584,3.1409173541346777e-05,3.140868027841984e-05
0.0006309573444801936,0.002401617540787103,0.023806178306699753,3.6655464267025364e-05,3.6654792463703496e-05
0.0007943282347242822,0.0015761682593995394,0.015623862662299025,4.236665482628942e-05,4.236575737224292e-05
0.001,0.001036516515940069,0.010274532300518327,4.7039854191783754e-05,4.703874783519025e-05
