inclination,phase_factor,total_satellites,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,total_uncovered_cells,maximum_uncovered_points,feasible
53.0,23,2048,1.0,1.0,1.0,1.0,4.175408950617284,0.0,0,0,True
53.5,21,2048,1.0,1.0,1.0,1.0,4.120788580246914,0.0,0,0,True
53.75,21,2048,1.0,1.0,1.0,1.0,4.0862592592592595,0.0,0,0,True
53.25,23,2048,0.9999986772486773,0.9958333333333333,0.9996825396825397,0.9993055555555556,4.150162037037037,1.0,6,1,False
54.0,21,2048,0.9999922839506172,0.9756944444444444,0.9996825396825397,0.9986111111111111,4.055921075837743,1.0,35,1,False
53.5,23,2048,0.9999850088183422,0.9527777777777777,0.9996825396825397,0.9979166666666667,4.120746693121693,1.0,68,1,False
53.0,19,2048,0.9999656084656084,0.8972222222222223,0.9990476190476191,0.9972222222222222,4.175466490299824,1.0,156,3,False
53.25,19,2048,0.9999477513227514,0.8458333333333333,0.9993650793650793,0.9958333333333333,4.150104497354497,1.0,237,2,False
53.75,23,2048,0.999950176366843,0.8430555555555556,0.9996825396825397,0.9951388888888889,4.086296075837742,1.0,226,1,False
53.5,19,2048,0.9999484126984127,0.8416666666666667,0.9993650793650793,0.9958333333333333,4.120765873015873,1.0,234,2,False
54.25,21,2048,0.9999393738977073,0.8291666666666667,0.9993650793650793,0.99375,4.024768959435626,3.0,275,2,False
53.75,19,2048,0.9999215167548501,0.7847222222222222,0.9993650793650793,0.9958333333333333,4.086281305114638,1.0,356,2,False
54.0,19,2048,0.9999305555555555,0.7840277777777778,0.9993650793650793,0.9944444444444445,4.055946208112875,1.0,315,2,False
53.25,21,2048,0.9999219576719577,0.7541666666666667,0.9996825396825397,0.9930555555555556,4.150107804232804,1.0,354,1,False
54.0,23,2048,0.999882495590829,0.6729166666666667,0.9993650793650793,0.9916666666666667,4.055941798941799,1.0,533,2,False
54.25,19,2048,0.9998690476190476,0.6590277777777778,0.9990476190476191,0.9930555555555556,4.024809744268078,2.0,594,3,False
53.25,0,2048,0.9995185185185185,0.6534722222222222,0.9974603174603175,0.9743055555555555,4.150036155202822,1.0,2184,8,False
53.5,0,2048,0.9995346119929454,0.6423611111111112,0.9968253968253968,0.975,4.120751984126984,1.0,2111,10,False
54.5,21,2048,0.9998544973544974,0.6263888888888889,0.9993650793650793,0.9902777777777778,3.9899391534391535,3.0,660,2,False
53.0,21,2048,0.9998765432098765,0.6111111111111112,0.9996825396825397,0.9895833333333334,4.1754444444444445,1.0,560,1,False
54.5,19,2048,0.9998555996472663,0.5972222222222222,0.9993650793650793,0.9895833333333334,3.989893959435626,2.0,655,2,False
53.0,0,2048,0.9995119047619048,0.5909722222222222,0.9974603174603175,0.9743055555555555,4.175493165784832,1.0,2214,8,False
53.75,0,2048,0.9995445326278659,0.5840277777777778,0.9974603174603175,0.9770833333333333,4.086332231040564,1.0,2066,8,False
54.25,23,2048,0.9997943121693121,0.5465277777777777,0.9990476190476191,0.9868055555555556,4.024802689594356,1.0,933,3,False
54.0,0,2048,0.9995846560846561,0.53125,0.9977777777777778,0.9805555555555555,4.055886463844797,1.0,1884,7,False
54.25,0,2048,0.9996029541446209,0.5270833333333333,0.9984126984126984,0.9840277777777777,4.024786816578483,1.0,1801,5,False
54.5,0,2048,0.9995531305114639,0.5201388888888889,0.9974603174603175,0.9847222222222223,3.989994708994709,1.0,2027,8,False
54.0,30,2048,0.999674823633157,0.51875,0.9987301587301587,0.9798611111111111,4.055938712522046,1.0,1475,4,False
53.75,30,2048,0.9996397707231041,0.4888888888888889,0.9987301587301587,0.9791666666666666,4.086265652557319,1.0,1634,4,False
54.75,0,2048,0.9994082892416226,0.48819444444444443,0.9958730158730159,0.9854166666666667,3.9504742063492064,1.0,2684,13,False
54.5,23,2048,0.9997127425044092,0.4826388888888889,0.9987301587301587,0.9847222222222223,3.9899115961199296,1.0,1303,4,False
54.75,19,2048,0.9997982804232804,0.46875,0.9993650793650793,0.9875,3.9504753086419755,3.0,915,2,False
54.25,30,2048,0.9996646825396825,0.46319444444444446,0.9987301587301587,0.98125,4.024755291005291,1.0,1521,4,False
55.0,0,2048,0.9992096560846561,0.43680555555555556,0.9955555555555555,0.9847222222222223,3.915552028218695,2.0,3585,14,False
53.5,30,2048,0.9995652557319225,0.39444444444444443,0.9984126984126984,0.9777777777777777,4.120736992945326,1.0,1972,5,False
54.75,21,2048,0.9997508818342151,0.39375,0.9990476190476191,0.9847222222222223,3.950482142857143,3.0,1130,3,False
54.75,23,2048,0.9996276455026455,0.36319444444444443,0.9984126984126984,0.9805555555555555,3.9504514991181656,3.0,1689,5,False
54.5,30,2048,0.9995612874779541,0.3576388888888889,0.9984126984126984,0.9840277777777777,3.9899376102292767,1.0,1990,5,False
55.0,19,2048,0.9997160493827161,0.35138888888888886,0.9990476190476191,0.9826388888888888,3.9154953703703703,3.0,1288,3,False
53.25,30,2048,0.9994704585537919,0.325,0.9984126984126984,0.9715277777777778,4.150131172839506,1.0,2402,5,False
54.75,30,2048,0.999429012345679,0.2826388888888889,0.9977777777777778,0.9819444444444444,3.9505165343915345,2.0,2590,7,False
55.0,21,2048,0.9996613756613757,0.25277777777777777,0.9987301587301587,0.9798611111111111,3.9154539241622577,3.0,1536,4,False
